time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
46.645,1e-06,4.5e-07,0.6778241945568895,0,0.000229722819363348,2.5e-07,0.0,0.0
46.646,1e-06,4.5e-07,0.6778245633839894,0,0.000229723069363348,2.5e-07,0.0,0.0
46.647,1e-06,4.5e-07,0.6778249322108888,0,0.000229723319363348,2.5e-07,0.0,0.0
46.648,1e-06,4.5e-07,0.6778253010375874,0,0.000229723569363348,2.5e-07,0.0,0.0
46.649,1e-06,4.5e-07,0.6778256698640853,0,0.000229723819363348,2.5e-07,0.0,0.0
46.65,1e-06,4.5e-07,0.6778260386903826,0,0.00022972406936334802,2.5e-07,0.0,0.0
46.651,1e-06,4.5e-07,0.6778264075164792,0,0.00022972431936334802,2.5e-07,0.0,0.0
46.652,1e-06,4.5e-07,0.677826776342375,0,0.00022972456936334802,2.5e-07,0.0,0.0
46.653,1e-06,4.5e-07,0.6778271451680702,0,0.00022972481936334803,2.5e-07,0.0,0.0
46.654,1e-06,4.5e-07,0.6778275139935647,0,0.00022972506936334803,2.5e-07,0.0,0.0
46.655,1e-06,4.5e-07,0.6778278828188584,0,0.00022972531936334804,2.5e-07,0.0,0.0
46.656,1e-06,4.5e-07,0.6778282516439516,0,0.00022972556936334804,2.5e-07,0.0,0.0
46.657000000000004,1e-06,4.5e-07,0.677828620468844,0,0.00022972581936334804,2.5e-07,0.0,0.0
46.658,0.0001571914298019805,7.073614341089123e-05,0.6778289892935356,0,0.00022972606936334805,7.053614341089123e-05,0.00015619142980198051,0.0
46.659,1e-06,4.5e-07,0.677933043163938,0,0.00022979660550675893,2.5e-07,0.0,0.0
46.660000000000004,1e-06,4.5e-07,0.6779334119318193,0,0.00022979685550675893,2.5e-07,0.0,0.0
46.661,1e-06,4.5e-07,0.6779337806995,0,0.00022979710550675894,2.5e-07,0.0,0.0
46.662,1e-06,4.5e-07,0.6779341494669803,0,0.00022979735550675894,2.5e-07,0.0,0.0
46.663000000000004,1e-06,4.5e-07,0.6779345182342598,0,0.00022979760550675895,2.5e-07,0.0,0.0
46.664,1e-06,4.5e-07,0.6779348870013387,0,0.00022979785550675895,2.5e-07,0.0,0.0
46.665,1e-06,4.5e-07,0.6779352557682171,0,0.00022979810550675895,2.5e-07,0.0,0.0
46.666000000000004,1e-06,4.5e-07,0.6779356245348949,0,0.00022979835550675896,2.5e-07,0.0,0.0
46.667,1e-06,4.5e-07,0.677935993301372,0,0.00022979860550675896,2.5e-07,0.0,0.0
46.668,0.00015661002258262924,7.047451016218316e-05,0.6779363620676486,0,0.00022979885550675897,7.027451016218315e-05,0.00015561002258262924,0.0
46.669000000000004,1e-06,4.5e-07,0.6780400135934769,0,0.00022986913001692114,2.5e-07,0.0,0.0
46.67,1e-06,4.5e-07,0.6780403823031799,0,0.00022986938001692115,2.5e-07,0.0,0.0
46.671,1e-06,4.5e-07,0.6780407510126824,0,0.00022986963001692115,2.5e-07,0.0,0.0
46.672000000000004,0.00011560199371860025,5.2020897173370115e-05,0.6780411197219843,0,0.00022986988001692115,5.1820897173370116e-05,0.00011460199371860025,0.0
46.673,1e-06,4.5e-07,0.678117542781625,0,0.00022992170091409452,2.5e-07,0.0,0.0
46.674,1e-06,4.5e-07,0.6781179114491734,0,0.00022992195091409452,2.5e-07,0.0,0.0
46.675000000000004,1e-06,4.5e-07,0.6781182801165214,0,0.00022992220091409452,2.5e-07,0.0,0.0
46.676,1e-06,4.5e-07,0.678118648783669,0,0.00022992245091409453,2.5e-07,0.0,0.0
46.677,1e-06,4.5e-07,0.6781190174506162,0,0.00022992270091409453,2.5e-07,0.0,0.0
46.678000000000004,9.601712994796808e-05,4.3207708476585634e-05,0.6781193861173629,0,0.00022992295091409454,4.3007708476585636e-05,9.501712994796808e-05,0.0
46.679,1e-06,4.5e-07,0.6781828051824539,0,0.00022996595862257113,2.5e-07,0.0,0.0
46.68,1e-06,4.5e-07,0.6781831738145251,0,0.00022996620862257114,2.5e-07,0.0,0.0
46.681000000000004,1e-06,4.5e-07,0.6781835424463958,0,0.00022996645862257114,2.5e-07,0.0,0.0
46.682,1e-06,4.5e-07,0.6781839110780661,0,0.00022996670862257114,2.5e-07,0.0,0.0
46.683,1e-06,4.5e-07,0.6781842797095361,0,0.00022996695862257115,2.5e-07,0.0,0.0
